N°	VARIABLE INICIAL	VARIABLE FINAL	TIPO DE DATO	PK	DESCRIPCION	ESTADO/RAZON_AUDITORIA
165	trx_monto_abonos_promedio_12m_total	avg_trx_abonostot_12m	decimal(38,6)		Promedio mensual de abonos (en monto) en los últimos 12 meses.	CORR-00
166	trx_monto_abonos_ratio_1m_efectivo_total	rat_trx_mntabnsefetot_1m	decimal(38,6)		Ratio de abonos en efectivo respecto al total de abonos, considerando ambos valores acumulados en los último mes.	CORR-00
167	trx_monto_abonos_ratio_3m_efectivo_total	rat_trx_mntabnsefetot_3m	decimal(38,6)		Ratio de abonos en efectivo respecto al total de abonos, considerando ambos valores acumulados en los últimos 3 meses.	CORR-00
168	trx_monto_abonos_ratio_6m_efectivo_total	rat_trx_mntabnsefetot_6m	decimal(38,6)		Ratio de abonos en efectivo respecto al total de abonos, considerando ambos valores acumulados en los últimos 6 meses.	CORR-00
169	trx_monto_abonos_ratio_9m_efectivo_total	rat_trx_mntabnsefetot_9m	decimal(38,6)		Ratio de abonos en efectivo respecto al total de abonos, considerando ambos valores acumulados en los últimos 9 meses.	CORR-00
170	trx_monto_abonos_ratio_12m_efectivo_total	rat_trx_mntabnsefetot_12m	decimal(38,6)		Ratio de abonos en efectivo respecto al total de abonos, considerando ambos valores acumulados en los últimos 12 meses.	CORR-00
171	trx_monto_abonos_ratio_1a3m_4a6m_total	rat_trx_mntabontot_13_46	decimal(38,6)		Ratio de la diferencia del monto de los abonos 2 ventanas de tiempo entre el monto total ((monto mes1 al mes3)-(monto mes4 al mes6))/(monto total)	SIN-EVID
172	trx_monto_abonos_ratio_1a3m_4a9m_total	rat_trx_mntabontot_13_49	decimal(38,6)		Ratio de la diferencia del monto de los abonos 2 ventanas de tiempo entre el monto total ((monto mes1 al mes3)-(monto mes4 al mes9))/(monto total)	SIN-EVID
173	trx_monto_abonos_ratio_1a6m_7a12m_total	rat_trx_mntabontot_16_712	decimal(38,6)		Ratio de la diferencia del monto de los abonos 2 ventanas de tiempo entre el monto total ((monto mes1 al mes6)-(monto mes7 al mes12))/(monto total)	SIN-EVID
174	q_meses_ingresos_0	cnt_meses_siningresos_12m	int		Cantidad de meses, dentro de los últimos 12 meses, en que no se registraron abonos.	SQL-01
175	trx_monto_abonos_1m_max	max_trx_abonos_1m	decimal(38,6)		Monto más alto recibido en un solo abono en el último mes.	CORR-00
176	trx_monto_abonos_3m_max	max_trx_abonos_3m	decimal(38,6)		Monto más alto recibido en un solo abono en los últimos 3 meses.	SQL-01
177	trx_monto_abonos_6m_max	max_trx_abonos_6m	decimal(38,6)		Monto más alto recibido en un solo abono en los últimos 6 meses.	CORR-00
178	trx_monto_abonos_9m_max	max_trx_abonos_9m	decimal(38,6)		Monto más alto recibido en un solo abono en los últimos 9 meses.	CORR-00
179	trx_monto_abonos_12m_max	max_trx_abonos_12m	decimal(38,6)		Monto más alto recibido en un solo abono en los últimos 12 meses.	CORR-00
180	trx_q_cargos_1m_total	cnt_trx_cargostot_1m	int		Cantidad total de cargos en el último mes.	CORR-00
181	trx_q_cargos_3m_total	cnt_trx_cargostot_3m	int		Cantidad de cargos  en los últimos 3 meses.	MODELO(#1;9.77%)
182	trx_q_cargos_6m_total	cnt_trx_cargostot_6m	int		Cantidad de cargos en los últimos 6 meses.	CORR-00
183	trx_q_cargos_9m_total	cnt_trx_cargostot_9m	int		Cantidad de cargos registrados en 9 meses.	CORR-00
184	trx_q_cargos_12m_total	cnt_trx_cargostot_12m	int		Cantidad de cargos en el periodo de 12 meses.	CORR-00
185	trx_q_cargos_1m_efectivo	cnt_trx_cargosefe_1m	int		Cantidad de cargos en efectivo en el último mes.	SIN-EVID
186	trx_q_cargos_3m_efectivo	cnt_trx_cargosefe_3m	int		Cantidad de cargos en efectivo en los últimos 3 meses.	SIN-EVID
187	trx_q_cargos_6m_efectivo	cnt_trx_cargosefe_6m	int		Cantidad de cargos en efectivo en los últimos 6 meses.	CORR-00
188	trx_q_cargos_9m_efectivo	cnt_trx_cargosefe_9m	int		Cantidad total de cargos en efectivo en los últimos 9 meses.	CORR-00
189	trx_q_cargos_12m_efectivo	cnt_trx_cargosefe_12m	int		Cantidad de cargos en efectivo en los ultimos 12 meses.	CORR-00
190	trx_q_cargos_promedio_3m_total	avg_trx_cargos_3m	decimal(38,6)		Promedio mensual de cargos en los últimos 3 meses.	CORR-00
191	trx_q_cargos_promedio_6m_total	avg_trx_cargos_6m	decimal(38,6)		Promedio de cargos en los últimos 6 meses.	CORR-00
